Material Code,Material Description,Category,Unit of Measure,Unit Price (INR),Annual Quantity
IOCL-P-106B-06,Pipe Carbon Steel Seamless 6in Sch 40 to ASTM A106 Gr.B Beveled Ends,Pipes,Mtr,4880,14000
IOCL-P-106B-04,CS Seamless Pipe 4 Inch NB Schedule 40 Grade B ASTM A106,Pipes,Mtr,3220,9000
IOCL-P-SS316-02,Seamless Pipe SS316L 2 Inch Sch 40S ASTM A312 TP316L,Pipes,Mtr,8920,5100
IOCL-V-300-FB04,Ball Valve 4in 300 LB WCB Body CS Flanged Trim SS316 Fire Safe API 6D,Valves,Nos,24700,520
IOCL-V-150-GT06,Gate Valve 6in 150 LB Flanged WCB Carbon Steel Trim 8 Handwheel Operated API 600,Valves,Nos,38200,410
IOCL-V-300-CK03,Check Valve 3in Class 300 Swing Type Flanged WCB Carbon Steel API 6D,Valves,Nos,16600,310
IOCL-F-B7-20X12,Stud Bolt with 2 Heavy Hex Nuts M20x120 Alloy Steel ASTM A193 B7 / A194 2H,Fasteners,Set,345,28000
IOCL-F-B7-24X16,Stud Bolt with 2 Nuts M24x160mm Long ASTM A193 B7 / A194 2H Black Finish,Fasteners,Set,525,21000
IOCL-FL-WN-300-6,Flange Weld Neck 6in 300 LB RF CS A105 ASME B16.5 Sch 40 Bore,Fittings,Nos,6220,1350
IOCL-GK-SP-300-6,Metallic Gasket Spiral Wound 6in 300 LB SS316 Graphite Filler ASME B16.20,Fittings,Nos,455,16000
IOCL-S-HLM-WHT,Industrial Safety Helmet White HDPE Shell Ratchet Suspension IS 2925,Safety,Nos,485,7500
IOCL-E-FL-60W,Flameproof LED Fitting 60 Watt 240V AC Ex d IIC T6 IP66 Wellhead / Refinery,Electrical,Nos,18600,920
