code,description,unit,price,quantity
BP-BLT-234,M10 Stainless Steel Hexagonal Bolt 50mm Grade 8.8,Numbers,52,3500
BP-VLV-101,2" Gate Valve Carbon Steel Class 150 Flange End,Numbers,12500,35
BP-PIP-550,CS Seamless Pipe 4 inch Sched 40 A106 Gr.B,Mtrs,1550,150
BP-VLV-102,1" SS 316 Ball Valve Screwed Ends,Numbers,3600,80
BP-FIT-201,Elbow 90 deg 2" S-80 Carbon Steel,Numbers,850,120
BP-FIT-202,Flange WNRF 3 inch 300# Stainless Steel 304,Numbers,2650,60
BP-INS-301,Gauge Pressure 0 to 10 bar 100mm,Numbers,1850,150
BP-SAF-401,Yellow Industrial Safety Helmet HDPE,Numbers,320,800
BP-VLV-103,Swing Check Valve 1-1/2" CS Class 300,Numbers,8800,30
BP-CHM-501,Lube Oil VG46 ISO,Ltrs,155,4000
BP-ELE-601,Cable 3Cx2.5Sqmm Copper Armored,Mtrs,260,2500
BP-BLT-235,Hex Nut M10 SS 304,Numbers,16,3500
BP-BLT-236,Washer Plain M10 SS304,Numbers,6,3500
BP-PIP-551,CS ERW Pipe 6 inch Sched 40,Mtrs,2250,400
BP-VLV-104,Globe Valve 2 inch Class 150 CS,Numbers,13800,25
BP-SAF-402,Leather Safety Shoes Size 8 Industrial,Pairs,880,400
BP-INS-302,K-Type Thermocouple 300mm,Numbers,2600,40
BP-FIT-203,Equal Tee 2 inch S-40 CS,Numbers,680,80
BP-FIT-204,Conc Reducer 4x2 S-40 CS,Numbers,1250,30
BP-ELE-602,Motor Induction 5HP 3Ph 415V,Numbers,15500,8
BP-BLT-237,Stud M16x100 B7 / 2H Nuts,Numbers,125,400
BP-CHM-502,Toluene Solvent,Ltrs,88,800
BP-SAF-403,Heavy Duty Cotton Gloves,Pairs,48,1500
BP-PIP-552,Tube SS 1/2" OD 1.5mm SS316,Mtrs,470,800
BP-VLV-105,Wafer Butterfly Valve 4" Cast Iron,Numbers,5700,45
BP-VLV-106,CS Plug Valve 2" 150#,Numbers,14500,15
BP-INS-303,Mag Flow Meter 4 inch,Numbers,46000,4
BP-ELE-603,2 Pole MCB 10A 10kA,Numbers,360,150
BP-ELE-604,Floodlight LED 100W IP65,Numbers,4600,40
BP-BLT-238,M12x60 CS Hex Bolt Grade 8.8,Numbers,26,800
