Material Code,Material Description,Category,Unit of Measure,Unit Price,Annual Quantity
BP-VLV-101,"2"" Gate Valve Carbon Steel Class 150 Flange End",Valves,Numbers,12500,45
BP-FIT-201,Elbow 90 Degree 2 inch Schedule 80 Carbon Steel,Fittings,Numbers,850,120
BP-INS-301,Gauge Pressure 0 to 10 bar 100mm Dial Size,Instruments,Numbers,1850,150
BP-SAF-401,Yellow Industrial Safety Helmet HDPE Material,Safety,Numbers,260,400
BP-PIP-550,CS Seamless Pipe 4 inch Sched 40 A106 Gr.B,Pipes,Mtrs,1550,180
BP-PIP-551,CS ERW Pipe 6 inch Sched 40,Pipes,Mtrs,2250,250
BP-ELE-601,Cable 3Cx2.5Sqmm Copper Armored,Electrical,Mtrs,260,2500
BP-ELE-603,MCB 10A Double Pole 10kA C-Curve,Electrical,Numbers,360,150
BP-BLT-234,M10 Stainless Steel Hexagonal Bolt 50mm Grade 8.8,Fasteners,Numbers,52,3500
BP-BLT-236,Washer Plain M10 Stainless Steel 304,Fasteners,Numbers,6,3500
BP-SAF-403,Cotton Hand Gloves Heavy Duty Industrial,Safety,Pairs,48,1500
BP-CHM-701,Lube Oil ISO VG 46 210L Barrel,Chemicals,Barrels,28500,25
